source_file,mutated_file,mutation_class,mutation,target_event,target_object,intended_dimension,nominal_single_deviation_cost,expected_optimum,details
component_001_events_0030_objects_0020.jsonocel,data_package_weight/component_001_events_0030_objects_0020.jsonocel,data,wrong_package_weight,create_p-660001,p-660001,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,weight 8.484 -> 8.621
component_001_events_0030_objects_0020.jsonocel,data_order_price/component_001_events_0030_objects_0020.jsonocel,data,wrong_order_price,pay_o-990005,o-990005,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,price 3049.98 -> 3057.29
component_001_events_0030_objects_0020.jsonocel,cf_missing_pick/component_001_events_0030_objects_0020.jsonocel,control_flow,remove_pick_event,pick_i-880004,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed one observed pick item event
component_001_events_0030_objects_0020.jsonocel,cf_extra_pick/component_001_events_0030_objects_0020.jsonocel,control_flow,duplicate_pick_event,pick_i-880004__controlled_extra,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Duplicate of pick_i-880004
component_001_events_0030_objects_0020.jsonocel,object_missing_item_relation/component_001_events_0030_objects_0020.jsonocel,object,remove_item_relation_from_create_package,create_p-660001,i-880001,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed exactly one ITEM from create package ocel:omap
component_002_events_0028_objects_0013.jsonocel,data_package_weight/component_002_events_0028_objects_0013.jsonocel,data,wrong_package_weight,create_p-660003,p-660003,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,weight 3.606 -> 3.743
component_002_events_0028_objects_0013.jsonocel,data_order_price/component_002_events_0028_objects_0013.jsonocel,data,wrong_order_price,pay_o-990014,o-990014,data,1,TO_VALIDATE_WITH_BOTH_BACKENDS,price 1098.99 -> 1106.3
component_002_events_0028_objects_0013.jsonocel,cf_missing_pick/component_002_events_0028_objects_0013.jsonocel,control_flow,remove_pick_event,pick_i-880010,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed one observed pick item event
component_002_events_0028_objects_0013.jsonocel,cf_extra_pick/component_002_events_0028_objects_0013.jsonocel,control_flow,duplicate_pick_event,pick_i-880010__controlled_extra,,control_flow,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Duplicate of pick_i-880010
component_002_events_0028_objects_0013.jsonocel,object_missing_item_relation/component_002_events_0028_objects_0013.jsonocel,object,remove_item_relation_from_create_package,create_p-660003,i-880008,object,1,TO_VALIDATE_WITH_BOTH_BACKENDS,Removed exactly one ITEM from create package ocel:omap
